winner,turns,win_rate
AI,21,1.0
AI,32,1.0
AI,125,1.0
Human,35,0.75
AI,87,0.8
Human,43,0.6666666666666666
AI,51,0.7142857142857143
AI,32,0.75
Human,76,0.6666666666666666
AI,100,0.7
AI,19,0.7272727272727273
Human,33,0.6666666666666666
AI,63,0.6923076923076923
Human,71,0.6428571428571429
AI,11,0.6666666666666666
AI,52,0.6875
AI,39,0.7058823529411765
Human,87,0.6666666666666666
AI,25,0.6842105263157895
AI,16,0.7
AI,27,0.7142857142857143
AI,12,0.7272727272727273
Human,116,0.6956521739130435
Human,49,0.6666666666666666
Human,18,0.64
Human,41,0.6153846153846154
AI,38,0.6296296296296297
Human,35,0.6071428571428571
AI,25,0.6206896551724138
Human,37,0.6
Human,86,0.5806451612903226
AI,110,0.59375
Human,18,0.5757575757575758
Human,51,0.5588235294117647
AI,29,0.5714285714285714
Human,25,0.5555555555555556
AI,35,0.5675675675675675
AI,28,0.5789473684210527
Human,24,0.5641025641025641
Human,57,0.55
Human,48,0.5365853658536586
AI,28,0.5476190476190477
Human,14,0.5348837209302325
AI,66,0.5454545454545454
AI,15,0.5555555555555556
Human,49,0.5434782608695652
Human,16,0.5319148936170213
Human,63,0.5208333333333334
AI,11,0.5306122448979592
AI,36,0.54
