winner,turns,win_rate
Human,42,0.0
AI,14,0.5
AI,19,0.6666666666666666
Human,23,0.5
AI,21,0.6
Human,49,0.5
AI,53,0.5714285714285714
Human,21,0.5
AI,13,0.5555555555555556
AI,26,0.6
AI,49,0.6363636363636364
Human,11,0.5833333333333334
AI,51,0.6153846153846154
Human,47,0.5714285714285714
AI,19,0.6
AI,54,0.625
Human,46,0.5882352941176471
AI,52,0.6111111111111112
AI,93,0.631578947368421
Human,13,0.6
AI,41,0.6190476190476191
Human,19,0.5909090909090909
Human,18,0.5652173913043478
AI,28,0.5833333333333334
Human,40,0.56
Human,61,0.5384615384615384
AI,29,0.5555555555555556
AI,30,0.5714285714285714
AI,19,0.5862068965517241
Human,57,0.5666666666666667
Human,22,0.5483870967741935
AI,26,0.5625
Human,42,0.5454545454545454
AI,32,0.5588235294117647
Human,42,0.5428571428571428
Human,83,0.5277777777777778
AI,21,0.5405405405405406
Human,43,0.5263157894736842
Human,54,0.5128205128205128
Human,95,0.5
AI,13,0.5121951219512195
Human,57,0.5
Human,20,0.4883720930232558
Human,123,0.4772727272727273
AI,71,0.4888888888888889
Human,33,0.4782608695652174
Human,22,0.46808510638297873
AI,30,0.4791666666666667
Human,30,0.46938775510204084
AI,106,0.48
