winner,turns,win_rate
AI,45,1.0
AI,50,1.0
Human,36,0.6666666666666666
Human,41,0.5
Human,44,0.4
AI,26,0.5
Human,36,0.42857142857142855
AI,74,0.5
Human,18,0.4444444444444444
Human,41,0.4
AI,21,0.45454545454545453
AI,18,0.5
Human,74,0.46153846153846156
AI,22,0.5
Human,28,0.4666666666666667
AI,58,0.5
AI,13,0.5294117647058824
AI,64,0.5555555555555556
Human,46,0.5263157894736842
Human,67,0.5
AI,23,0.5238095238095238
Human,45,0.5
Human,14,0.4782608695652174
Human,95,0.4583333333333333
Human,34,0.44
AI,28,0.46153846153846156
Human,22,0.4444444444444444
Human,53,0.42857142857142855
Human,52,0.41379310344827586
AI,32,0.43333333333333335
Human,18,0.41935483870967744
Human,21,0.40625
AI,13,0.42424242424242425
Human,19,0.4117647058823529
AI,25,0.42857142857142855
Human,63,0.4166666666666667
Human,36,0.40540540540540543
Human,27,0.39473684210526316
AI,53,0.41025641025641024
AI,16,0.425
Human,38,0.4146341463414634
Human,57,0.40476190476190477
Human,42,0.3953488372093023
Human,13,0.38636363636363635
AI,31,0.4
AI,60,0.41304347826086957
Human,22,0.40425531914893614
Human,25,0.3958333333333333
AI,63,0.40816326530612246
AI,14,0.42
